Golf;Ville;Département;Région;Architecte;Par Total;Nombre de Trous;Trou N°;Par du Trou;Index (HCP);Distance Noir (m);Distance Blanc (m);Distance Jaune (m);Distance Bleu (m);Distance Rouge (m);Slope Noir H;SSS Noir H;Slope Blanc H;SSS Blanc H;Slope Jaune H;SSS Jaune H;Slope Bleu H;SSS Bleu H;Slope Rouge H;SSS Rouge H;Slope Jaune F;SSS Jaune F;Slope Bleu F;SSS Bleu F;Slope Rouge F;SSS Rouge F;Distance Totale Noir (m);Distance Totale Blanc (m);Distance Totale Jaune (m);Distance Totale Bleu (m);Distance Totale Rouge (m)
Golf National - L'Albatros;Guyancourt;78 - Yvelines;Île-de-France;Hubert Chesneau / Robert von Hagge;72;18;11;4;4;405;380;355;315;300;155;76.9;155;73.8;141;71.6;135;68.9;134;68.1;155;78.3;148;75.1;141;74.2;6652;6155;5753;5211;5051
Golf National - L'Albatros;Guyancourt;78 - Yvelines;Île-de-France;Hubert Chesneau / Robert von Hagge;72;18;12;4;10;380;355;330;295;280;155;76.9;155;73.8;141;71.6;135;68.9;134;68.1;155;78.3;148;75.1;141;74.2;6652;6155;5753;5211;5051
Golf National - L'Albatros;Guyancourt;78 - Yvelines;Île-de-France;Hubert Chesneau / Robert von Hagge;72;18;13;3;18;170;155;140;125;115;155;76.9;155;73.8;141;71.6;135;68.9;134;68.1;155;78.3;148;75.1;141;74.2;6652;6155;5753;5211;5051
Golf National - L'Albatros;Guyancourt;78 - Yvelines;Île-de-France;Hubert Chesneau / Robert von Hagge;72;18;14;5;6;535;505;475;430;415;155;76.9;155;73.8;141;71.6;135;68.9;134;68.1;155;78.3;148;75.1;141;74.2;6652;6155;5753;5211;5051
Golf National - L'Albatros;Guyancourt;78 - Yvelines;Île-de-France;Hubert Chesneau / Robert von Hagge;72;18;15;4;2;435;410;385;345;330;155;76.9;155;73.8;141;71.6;135;68.9;134;68.1;155;78.3;148;75.1;141;74.2;6652;6155;5753;5211;5051
Golf National - L'Albatros;Guyancourt;78 - Yvelines;Île-de-France;Hubert Chesneau / Robert von Hagge;72;18;16;3;14;180;165;150;135;125;155;76.9;155;73.8;141;71.6;135;68.9;134;68.1;155;78.3;148;75.1;141;74.2;6652;6155;5753;5211;5051
Golf National - L'Albatros;Guyancourt;78 - Yvelines;Île-de-France;Hubert Chesneau / Robert von Hagge;72;18;17;4;12;390;365;340;305;290;155;76.9;155;73.8;141;71.6;135;68.9;134;68.1;155;78.3;148;75.1;141;74.2;6652;6155;5753;5211;5051
Golf National - L'Albatros;Guyancourt;78 - Yvelines;Île-de-France;Hubert Chesneau / Robert von Hagge;72;18;18;5;8;572;475;473;411;386;155;76.9;155;73.8;141;71.6;135;68.9;134;68.1;155;78.3;148;75.1;141;74.2;6652;6155;5753;5211;5051
Golf de Chantilly - Vineuil;Vineuil-Saint-Firmin;60 - Oise;Hauts-de-France;Tom Simpson;71;18;1;4;5;385;365;340;315;295;141;73.4;137;71.0;133;69.1;128;66.9;125;65.3;140;75.0;134;72.3;129;70.2;6400;6027;5700;5255;4935
Golf de Chantilly - Vineuil;Vineuil-Saint-Firmin;60 - Oise;Hauts-de-France;Tom Simpson;71;18;2;4;3;410;385;365;335;315;141;73.4;137;71.0;133;69.1;128;66.9;125;65.3;140;75.0;134;72.3;129;70.2;6400;6027;5700;5255;4935
Golf de Chantilly - Vineuil;Vineuil-Saint-Firmin;60 - Oise;Hauts-de-France;Tom Simpson;71;18;3;3;15;185;170;155;140;125;141;73.4;137;71.0;133;69.1;128;66.9;125;65.3;140;75.0;134;72.3;129;70.2;6400;6027;5700;5255;4935
Golf de Chantilly - Vineuil;Vineuil-Saint-Firmin;60 - Oise;Hauts-de-France;Tom Simpson;71;18;4;4;1;430;405;385;355;330;141;73.4;137;71.0;133;69.1;128;66.9;125;65.3;140;75.0;134;72.3;129;70.2;6400;6027;5700;5255;4935
Golf de Chantilly - Vineuil;Vineuil-Saint-Firmin;60 - Oise;Hauts-de-France;Tom Simpson;71;18;5;4;11;370;350;330;305;285;141;73.4;137;71.0;133;69.1;128;66.9;125;65.3;140;75.0;134;72.3;129;70.2;6400;6027;5700;5255;4935
Golf de Chantilly - Vineuil;Vineuil-Saint-Firmin;60 - Oise;Hauts-de-France;Tom Simpson;71;18;6;5;9;505;480;455;420;395;141;73.4;137;71.0;133;69.1;128;66.9;125;65.3;140;75.0;134;72.3;129;70.2;6400;6027;5700;5255;4935
Golf de Chantilly - Vineuil;Vineuil-Saint-Firmin;60 - Oise;Hauts-de-France;Tom Simpson;71;18;7;3;17;165;150;140;125;115;141;73.4;137;71.0;133;69.1;128;66.9;125;65.3;140;75.0;134;72.3;129;70.2;6400;6027;5700;5255;4935
Golf de Chantilly - Vineuil;Vineuil-Saint-Firmin;60 - Oise;Hauts-de-France;Tom Simpson;71;18;8;4;7;395;375;350;325;305;141;73.4;137;71.0;133;69.1;128;66.9;125;65.3;140;75.0;134;72.3;129;70.2;6400;6027;5700;5255;4935
Golf de Chantilly - Vineuil;Vineuil-Saint-Firmin;60 - Oise;Hauts-de-France;Tom Simpson;71;18;9;4;13;355;335;315;290;270;141;73.4;137;71.0;133;69.1;128;66.9;125;65.3;140;75.0;134;72.3;129;70.2;6400;6027;5700;5255;4935
Golf de Chantilly - Vineuil;Vineuil-Saint-Firmin;60 - Oise;Hauts-de-France;Tom Simpson;71;18;10;4;6;400;380;355;330;310;141;73.4;137;71.0;133;69.1;128;66.9;125;65.3;140;75.0;134;72.3;129;70.2;6400;6027;5700;5255;4935
Golf de Chantilly - Vineuil;Vineuil-Saint-Firmin;60 - Oise;Hauts-de-France;Tom Simpson;71;18;11;3;16;175;160;150;135;120;141;73.4;137;71.0;133;69.1;128;66.9;125;65.3;140;75.0;134;72.3;129;70.2;6400;6027;5700;5255;4935
Golf de Chantilly - Vineuil;Vineuil-Saint-Firmin;60 - Oise;Hauts-de-France;Tom Simpson;71;18;12;5;2;490;465;440;410;385;141;73.4;137;71.0;133;69.1;128;66.9;125;65.3;140;75.0;134;72.3;129;70.2;6400;6027;5700;5255;4935
Golf de Chantilly - Vineuil;Vineuil-Saint-Firmin;60 - Oise;Hauts-de-France;Tom Simpson;71;18;13;4;10;370;350;330;305;285;141;73.4;137;71.0;133;69.1;128;66.9;125;65.3;140;75.0;134;72.3;129;70.2;6400;6027;5700;5255;4935
Golf de Chantilly - Vineuil;Vineuil-Saint-Firmin;60 - Oise;Hauts-de-France;Tom Simpson;71;18;14;4;4;415;390;370;340;320;141;73.4;137;71.0;133;69.1;128;66.9;125;65.3;140;75.0;134;72.3;129;70.2;6400;6027;5700;5255;4935
Golf de Chantilly - Vineuil;Vineuil-Saint-Firmin;60 - Oise;Hauts-de-France;Tom Simpson;71;18;15;4;8;380;360;340;315;295;141;73.4;137;71.0;133;69.1;128;66.9;125;65.3;140;75.0;134;72.3;129;70.2;6400;6027;5700;5255;4935
Golf de Chantilly - Vineuil;Vineuil-Saint-Firmin;60 - Oise;Hauts-de-France;Tom Simpson;71;18;16;5;12;480;455;430;400;375;141;73.4;137;71.0;133;69.1;128;66.9;125;65.3;140;75.0;134;72.3;129;70.2;6400;6027;5700;5255;4935
Golf de Chantilly - Vineuil;Vineuil-Saint-Firmin;60 - Oise;Hauts-de-France;Tom Simpson;71;18;17;3;18;160;145;135;120;110;141;73.4;137;71.0;133;69.1;128;66.9;125;65.3;140;75.0;134;72.3;129;70.2;6400;6027;5700;5255;4935
Golf de Chantilly - Vineuil;Vineuil-Saint-Firmin;60 - Oise;Hauts-de-France;Tom Simpson;71;18;18;4;14;330;307;315;290;200;141;73.4;137;71.0;133;69.1;128;66.9;125;65.3;140;75.0;134;72.3;129;70.2;6400;6027;5700;5255;4935
Golf du Touquet - La Mer;Le Touquet-Paris-Plage;62 - Pas-de-Calais;Hauts-de-France;Harry Colt;72;18;1;4;9;375;355;330;305;285;147;75.5;143;73.2;137;70.8;131;68.1;128;66.5;145;76.5;138;73.8;134;72.0;6430;6050;5680;5250;4920
Golf du Touquet - La Mer;Le Touquet-Paris-Plage;62 - Pas-de-Calais;Hauts-de-France;Harry Colt;72;18;2;5;5;520;495;465;430;405;147;75.5;143;73.2;137;70.8;131;68.1;128;66.5;145;76.5;138;73.8;134;72.0;6430;6050;5680;5250;4920
Golf du Touquet - La Mer;Le Touquet-Paris-Plage;62 - Pas-de-Calais;Hauts-de-France;Harry Colt;72;18;3;3;17;175;160;145;130;120;147;75.5;143;73.2;137;70.8;131;68.1;128;66.5;145;76.5;138;73.8;134;72.0;6430;6050;5680;5250;4920
Golf du Touquet - La Mer;Le Touquet-Paris-Plage;62 - Pas-de-Calais;Hauts-de-France;Harry Colt;72;18;4;4;1;435;410;385;355;330;147;75.5;143;73.2;137;70.8;131;68.1;128;66.5;145;76.5;138;73.8;134;72.0;6430;6050;5680;5250;4920
Golf du Touquet - La Mer;Le Touquet-Paris-Plage;62 - Pas-de-Calais;Hauts-de-France;Harry Colt;72;18;5;4;7;395;370;350;320;300;147;75.5;143;73.2;137;70.8;131;68.1;128;66.5;145;76.5;138;73.8;134;72.0;6430;6050;5680;5250;4920
Golf du Touquet - La Mer;Le Touquet-Paris-Plage;62 - Pas-de-Calais;Hauts-de-France;Harry Colt;72;18;6;4;11;370;350;325;300;280;147;75.5;143;73.2;137;70.8;131;68.1;128;66.5;145;76.5;138;73.8;134;72.0;6430;6050;5680;5250;4920
Golf du Touquet - La Mer;Le Touquet-Paris-Plage;62 - Pas-de-Calais;Hauts-de-France;Harry Colt;72;18;7;3;15;190;175;160;145;130;147;75.5;143;73.2;137;70.8;131;68.1;128;66.5;145;76.5;138;73.8;134;72.0;6430;6050;5680;5250;4920
Golf du Touquet - La Mer;Le Touquet-Paris-Plage;62 - Pas-de-Calais;Hauts-de-France;Harry Colt;72;18;8;5;3;540;510;480;445;420;147;75.5;143;73.2;137;70.8;131;68.1;128;66.5;145;76.5;138;73.8;134;72.0;6430;6050;5680;5250;4920
Golf du Touquet - La Mer;Le Touquet-Paris-Plage;62 - Pas-de-Calais;Hauts-de-France;Harry Colt;72;18;9;4;13;365;345;320;295;275;147;75.5;143;73.2;137;70.8;131;68.1;128;66.5;145;76.5;138;73.8;134;72.0;6430;6050;5680;5250;4920
Golf du Touquet - La Mer;Le Touquet-Paris-Plage;62 - Pas-de-Calais;Hauts-de-France;Harry Colt;72;18;10;4;2;425;400;375;345;325;147;75.5;143;73.2;137;70.8;131;68.1;128;66.5;145;76.5;138;73.8;134;72.0;6430;6050;5680;5250;4920
Golf du Touquet - La Mer;Le Touquet-Paris-Plage;62 - Pas-de-Calais;Hauts-de-France;Harry Colt;72;18;11;4;10;380;360;335;310;290;147;75.5;143;73.2;137;70.8;131;68.1;128;66.5;145;76.5;138;73.8;134;72.0;6430;6050;5680;5250;4920
Golf du Touquet - La Mer;Le Touquet-Paris-Plage;62 - Pas-de-Calais;Hauts-de-France;Harry Colt;72;18;12;3;18;165;150;140;125;115;147;75.5;143;73.2;137;70.8;131;68.1;128;66.5;145;76.5;138;73.8;134;72.0;6430;6050;5680;5250;4920
Golf du Touquet - La Mer;Le Touquet-Paris-Plage;62 - Pas-de-Calais;Hauts-de-France;Harry Colt;72;18;13;5;4;525;500;470;435;410;147;75.5;143;73.2;137;70.8;131;68.1;128;66.5;145;76.5;138;73.8;134;72.0;6430;6050;5680;5250;4920
Golf du Touquet - La Mer;Le Touquet-Paris-Plage;62 - Pas-de-Calais;Hauts-de-France;Harry Colt;72;18;14;4;6;400;375;355;325;305;147;75.5;143;73.2;137;70.8;131;68.1;128;66.5;145;76.5;138;73.8;134;72.0;6430;6050;5680;5250;4920
Golf du Touquet - La Mer;Le Touquet-Paris-Plage;62 - Pas-de-Calais;Hauts-de-France;Harry Colt;72;18;15;4;12;360;340;320;295;275;147;75.5;143;73.2;137;70.8;131;68.1;128;66.5;145;76.5;138;73.8;134;72.0;6430;6050;5680;5250;4920
Golf du Touquet - La Mer;Le Touquet-Paris-Plage;62 - Pas-de-Calais;Hauts-de-France;Harry Colt;72;18;16;3;16;180;165;150;135;125;147;75.5;143;73.2;137;70.8;131;68.1;128;66.5;145;76.5;138;73.8;134;72.0;6430;6050;5680;5250;4920
Golf du Touquet - La Mer;Le Touquet-Paris-Plage;62 - Pas-de-Calais;Hauts-de-France;Harry Colt;72;18;17;4;8;390;370;345;320;300;147;75.5;143;73.2;137;70.8;131;68.1;128;66.5;145;76.5;138;73.8;134;72.0;6430;6050;5680;5250;4920
Golf du Touquet - La Mer;Le Touquet-Paris-Plage;62 - Pas-de-Calais;Hauts-de-France;Harry Colt;72;18;18;5;14;510;480;450;415;390;147;75.5;143;73.2;137;70.8;131;68.1;128;66.5;145;76.5;138;73.8;134;72.0;6430;6050;5680;5250;4920
Golf d'Hardelot - Les Pins;Neufchâtel-Hardelot;62 - Pas-de-Calais;Hauts-de-France;Tom Simpson;72;18;1;4;7;380;360;340;310;290;140;73.0;136;71.2;131;69.5;126;67.2;123;65.8;140;74.8;133;72.0;129;70.5;6165;5850;5520;5100;4800
Golf d'Hardelot - Les Pins;Neufchâtel-Hardelot;62 - Pas-de-Calais;Hauts-de-France;Tom Simpson;72;18;2;4;3;405;385;360;330;310;140;73.0;136;71.2;131;69.5;126;67.2;123;65.8;140;74.8;133;72.0;129;70.5;6165;5850;5520;5100;4800
Golf d'Hardelot - Les Pins;Neufchâtel-Hardelot;62 - Pas-de-Calais;Hauts-de-France;Tom Simpson;72;18;3;3;15;175;160;150;135;120;140;73.0;136;71.2;131;69.5;126;67.2;123;65.8;140;74.8;133;72.0;129;70.5;6165;5850;5520;5100;4800
Golf d'Hardelot - Les Pins;Neufchâtel-Hardelot;62 - Pas-de-Calais;Hauts-de-France;Tom Simpson;72;18;4;5;5;510;485;455;420;395;140;73.0;136;71.2;131;69.5;126;67.2;123;65.8;140;74.8;133;72.0;129;70.5;6165;5850;5520;5100;4800
Golf d'Hardelot - Les Pins;Neufchâtel-Hardelot;62 - Pas-de-Calais;Hauts-de-France;Tom Simpson;72;18;5;4;1;420;400;375;345;325;140;73.0;136;71.2;131;69.5;126;67.2;123;65.8;140;74.8;133;72.0;129;70.5;6165;5850;5520;5100;4800
Golf d'Hardelot - Les Pins;Neufchâtel-Hardelot;62 - Pas-de-Calais;Hauts-de-France;Tom Simpson;72;18;6;4;11;360;340;320;295;275;140;73.0;136;71.2;131;69.5;126;67.2;123;65.8;140;74.8;133;72.0;129;70.5;6165;5850;5520;5100;4800
Golf d'Hardelot - Les Pins;Neufchâtel-Hardelot;62 - Pas-de-Calais;Hauts-de-France;Tom Simpson;72;18;7;3;17;165;150;140;125;115;140;73.0;136;71.2;131;69.5;126;67.2;123;65.8;140;74.8;133;72.0;129;70.5;6165;5850;5520;5100;4800
Golf d'Hardelot - Les Pins;Neufchâtel-Hardelot;62 - Pas-de-Calais;Hauts-de-France;Tom Simpson;72;18;8;5;9;500;475;450;415;390;140;73.0;136;71.2;131;69.5;126;67.2;123;65.8;140;74.8;133;72.0;129;70.5;6165;5850;5520;5100;4800
Golf d'Hardelot - Les Pins;Neufchâtel-Hardelot;62 - Pas-de-Calais;Hauts-de-France;Tom Simpson;72;18;9;4;13;350;330;310;285;270;140;73.0;136;71.2;131;69.5;126;67.2;123;65.8;140;74.8;133;72.0;129;70.5;6165;5850;5520;5100;4800
Golf d'Hardelot - Les Pins;Neufchâtel-Hardelot;62 - Pas-de-Calais;Hauts-de-France;Tom Simpson;72;18;10;4;2;415;395;370;340;320;140;73.0;136;71.2;131;69.5;126;67.2;123;65.8;140;74.8;133;72.0;129;70.5;6165;5850;5520;5100;4800
Golf d'Hardelot - Les Pins;Neufchâtel-Hardelot;62 - Pas-de-Calais;Hauts-de-France;Tom Simpson;72;18;11;3;16;170;155;145;130;120;140;73.0;136;71.2;131;69.5;126;67.2;123;65.8;140;74.8;133;72.0;129;70.5;6165;5850;5520;5100;4800
Golf d'Hardelot - Les Pins;Neufchâtel-Hardelot;62 - Pas-de-Calais;Hauts-de-France;Tom Simpson;72;18;12;4;10;375;355;335;310;290;140;73.0;136;71.2;131;69.5;126;67.2;123;65.8;140;74.8;133;72.0;129;70.5;6165;5850;5520;5100;4800
Golf d'Hardelot - Les Pins;Neufchâtel-Hardelot;62 - Pas-de-Calais;Hauts-de-France;Tom Simpson;72;18;13;4;4;400;380;355;325;305;140;73.0;136;71.2;131;69.5;126;67.2;123;65.8;140;74.8;133;72.0;129;70.5;6165;5850;5520;5100;4800
Golf d'Hardelot - Les Pins;Neufchâtel-Hardelot;62 - Pas-de-Calais;Hauts-de-France;Tom Simpson;72;18;14;5;6;515;490;460;425;400;140;73.0;136;71.2;131;69.5;126;67.2;123;65.8;140;74.8;133;72.0;129;70.5;6165;5850;5520;5100;4800
Golf d'Hardelot - Les Pins;Neufchâtel-Hardelot;62 - Pas-de-Calais;Hauts-de-France;Tom Simpson;72;18;15;4;14;345;325;305;280;265;140;73.0;136;71.2;131;69.5;126;67.2;123;65.8;140;74.8;133;72.0;129;70.5;6165;5850;5520;5100;4800
Golf d'Hardelot - Les Pins;Neufchâtel-Hardelot;62 - Pas-de-Calais;Hauts-de-France;Tom Simpson;72;18;16;3;18;155;140;130;120;110;140;73.0;136;71.2;131;69.5;126;67.2;123;65.8;140;74.8;133;72.0;129;70.5;6165;5850;5520;5100;4800
Golf d'Hardelot - Les Pins;Neufchâtel-Hardelot;62 - Pas-de-Calais;Hauts-de-France;Tom Simpson;72;18;17;4;8;390;370;350;320;300;140;73.0;136;71.2;131;69.5;126;67.2;123;65.8;140;74.8;133;72.0;129;70.5;6165;5850;5520;5100;4800
Golf d'Hardelot - Les Pins;Neufchâtel-Hardelot;62 - Pas-de-Calais;Hauts-de-France;Tom Simpson;72;18;18;5;12;535;505;475;440;400;140;73.0;136;71.2;131;69.5;126;67.2;123;65.8;140;74.8;133;72.0;129;70.5;6165;5850;5520;5100;4800
Evian Resort Golf Club;Évian-les-Bains;74 - Haute-Savoie;Auvergne-Rhône-Alpes;Cabell Robinson;72;18;1;4;9;370;350;325;300;280;144;74.2;139;72.0;134;69.8;128;67.2;125;65.5;142;75.5;136;73.0;132;71.2;6270;5900;5530;5100;4800
Evian Resort Golf Club;Évian-les-Bains;74 - Haute-Savoie;Auvergne-Rhône-Alpes;Cabell Robinson;72;18;2;5;3;530;500;470;435;410;144;74.2;139;72.0;134;69.8;128;67.2;125;65.5;142;75.5;136;73.0;132;71.2;6270;5900;5530;5100;4800
Evian Resort Golf Club;Évian-les-Bains;74 - Haute-Savoie;Auvergne-Rhône-Alpes;Cabell Robinson;72;18;3;3;17;175;160;145;130;120;144;74.2;139;72.0;134;69.8;128;67.2;125;65.5;142;75.5;136;73.0;132;71.2;6270;5900;5530;5100;4800
Evian Resort Golf Club;Évian-les-Bains;74 - Haute-Savoie;Auvergne-Rhône-Alpes;Cabell Robinson;72;18;4;4;1;425;400;375;345;325;144;74.2;139;72.0;134;69.8;128;67.2;125;65.5;142;75.5;136;73.0;132;71.2;6270;5900;5530;5100;4800
Evian Resort Golf Club;Évian-les-Bains;74 - Haute-Savoie;Auvergne-Rhône-Alpes;Cabell Robinson;72;18;5;4;7;390;365;345;315;295;144;74.2;139;72.0;134;69.8;128;67.2;125;65.5;142;75.5;136;73.0;132;71.2;6270;5900;5530;5100;4800
Evian Resort Golf Club;Évian-les-Bains;74 - Haute-Savoie;Auvergne-Rhône-Alpes;Cabell Robinson;72;18;6;4;11;355;335;315;290;270;144;74.2;139;72.0;134;69.8;128;67.2;125;65.5;142;75.5;136;73.0;132;71.2;6270;5900;5530;5100;4800
Evian Resort Golf Club;Évian-les-Bains;74 - Haute-Savoie;Auvergne-Rhône-Alpes;Cabell Robinson;72;18;7;3;15;185;170;155;140;125;144;74.2;139;72.0;134;69.8;128;67.2;125;65.5;142;75.5;136;73.0;132;71.2;6270;5900;5530;5100;4800
Evian Resort Golf Club;Évian-les-Bains;74 - Haute-Savoie;Auvergne-Rhône-Alpes;Cabell Robinson;72;18;8;5;5;520;490;460;425;400;144;74.2;139;72.0;134;69.8;128;67.2;125;65.5;142;75.5;136;73.0;132;71.2;6270;5900;5530;5100;4800
Evian Resort Golf Club;Évian-les-Bains;74 - Haute-Savoie;Auvergne-Rhône-Alpes;Cabell Robinson;72;18;9;4;13;350;330;310;285;265;144;74.2;139;72.0;134;69.8;128;67.2;125;65.5;142;75.5;136;73.0;132;71.2;6270;5900;5530;5100;4800
Evian Resort Golf Club;Évian-les-Bains;74 - Haute-Savoie;Auvergne-Rhône-Alpes;Cabell Robinson;72;18;10;4;2;420;395;370;340;320;144;74.2;139;72.0;134;69.8;128;67.2;125;65.5;142;75.5;136;73.0;132;71.2;6270;5900;5530;5100;4800
Evian Resort Golf Club;Évian-les-Bains;74 - Haute-Savoie;Auvergne-Rhône-Alpes;Cabell Robinson;72;18;11;3;16;170;155;145;130;115;144;74.2;139;72.0;134;69.8;128;67.2;125;65.5;142;75.5;136;73.0;132;71.2;6270;5900;5530;5100;4800
Evian Resort Golf Club;Évian-les-Bains;74 - Haute-Savoie;Auvergne-Rhône-Alpes;Cabell Robinson;72;18;12;4;10;375;355;330;305;285;144;74.2;139;72.0;134;69.8;128;67.2;125;65.5;142;75.5;136;73.0;132;71.2;6270;5900;5530;5100;4800
Evian Resort Golf Club;Évian-les-Bains;74 - Haute-Savoie;Auvergne-Rhône-Alpes;Cabell Robinson;72;18;13;4;4;405;380;355;325;305;144;74.2;139;72.0;134;69.8;128;67.2;125;65.5;142;75.5;136;73.0;132;71.2;6270;5900;5530;5100;4800
Evian Resort Golf Club;Évian-les-Bains;74 - Haute-Savoie;Auvergne-Rhône-Alpes;Cabell Robinson;72;18;14;5;6;510;485;455;420;395;144;74.2;139;72.0;134;69.8;128;67.2;125;65.5;142;75.5;136;73.0;132;71.2;6270;5900;5530;5100;4800
Evian Resort Golf Club;Évian-les-Bains;74 - Haute-Savoie;Auvergne-Rhône-Alpes;Cabell Robinson;72;18;15;4;14;340;320;300;275;260;144;74.2;139;72.0;134;69.8;128;67.2;125;65.5;142;75.5;136;73.0;132;71.2;6270;5900;5530;5100;4800
Evian Resort Golf Club;Évian-les-Bains;74 - Haute-Savoie;Auvergne-Rhône-Alpes;Cabell Robinson;72;18;16;3;18;160;145;135;120;110;144;74.2;139;72.0;134;69.8;128;67.2;125;65.5;142;75.5;136;73.0;132;71.2;6270;5900;5530;5100;4800
Evian Resort Golf Club;Évian-les-Bains;74 - Haute-Savoie;Auvergne-Rhône-Alpes;Cabell Robinson;72;18;17;4;8;395;375;350;320;300;144;74.2;139;72.0;134;69.8;128;67.2;125;65.5;142;75.5;136;73.0;132;71.2;6270;5900;5530;5100;4800
Evian Resort Golf Club;Évian-les-Bains;74 - Haute-Savoie;Auvergne-Rhône-Alpes;Cabell Robinson;72;18;18;5;12;495;470;440;400;380;144;74.2;139;72.0;134;69.8;128;67.2;125;65.5;142;75.5;136;73.0;132;71.2;6270;5900;5530;5100;4800
Golf de Morfontaine;Mortefontaine;60 - Oise;Hauts-de-France;Tom Simpson;70;18;1;4;5;380;360;340;315;295;139;72.5;135;70.5;130;68.5;125;66.2;121;64.5;138;74.0;132;71.5;128;69.5;6100;5780;5450;5050;4750
Golf de Morfontaine;Mortefontaine;60 - Oise;Hauts-de-France;Tom Simpson;70;18;2;3;15;175;160;150;135;120;139;72.5;135;70.5;130;68.5;125;66.2;121;64.5;138;74.0;132;71.5;128;69.5;6100;5780;5450;5050;4750
Golf de Morfontaine;Mortefontaine;60 - Oise;Hauts-de-France;Tom Simpson;70;18;3;4;3;410;390;365;340;320;139;72.5;135;70.5;130;68.5;125;66.2;121;64.5;138;74.0;132;71.5;128;69.5;6100;5780;5450;5050;4750
Golf de Morfontaine;Mortefontaine;60 - Oise;Hauts-de-France;Tom Simpson;70;18;4;4;9;365;345;325;300;280;139;72.5;135;70.5;130;68.5;125;66.2;121;64.5;138;74.0;132;71.5;128;69.5;6100;5780;5450;5050;4750
Golf de Morfontaine;Mortefontaine;60 - Oise;Hauts-de-France;Tom Simpson;70;18;5;4;1;425;400;380;350;330;139;72.5;135;70.5;130;68.5;125;66.2;121;64.5;138;74.0;132;71.5;128;69.5;6100;5780;5450;5050;4750
